"bibtex_key","title","author","journal","year","source","pages","volume","abstract","document_type","doi","url","affiliation","author_keywords","keywords","publisher","issn","language","note","selection_criteria","created_at","updated_at","created_by","updated_by","status","comments"
"","Transient modeling and data-driven optimization of a hybrid geothermal–solar energy system for eco-friendly multigeneration: A case study approach to sustainable urban development","Ben Slimene M.","  Process Safety and Environmental Protection  ","2025","jalon2","","","undefined","","https://doi.org/10.1016/j.psep.2025.107717","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Data-Driven Vehicle Specification of Conventional and Electric Heavy-Duty Commercial Trucks for Improved Energy Consumption","Villani M.","  SAE International Journal of Commercial Vehicles  ","2025","jalon2","","","undefined","","https://doi.org/10.4271/02-18-03-0018","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Integrating BIM, Machine Learning, and PMBOK for Green Project Management in Saudi Arabia: A Framework for Energy Efficiency and Environmental Impact Reduction","Abuhussain M.","  Buildings  ","2025","jalon2","","","undefined","","https://doi.org/10.3390/buildings15173031","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Energy-Efficient Computing with Probabilistic Magnetic Bits - Performance Modeling and Comparison Against Probabilistic CMOS Logic","Rangarajan N.","  IEEE Transactions on Magnetics  ","2017","jalon2","","","undefined","","https://doi.org/10.1109/TMAG.2017.2696041","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Deep transfer learning for sustainable waste management: Real-time waste segregation apparatus using a two-phase CNN framework","Almtireen N.","  Journal of Supercomputing  ","2025","jalon2","","","undefined","","https://doi.org/10.1007/s11227-025-07931-2","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","A data-driven approach to assess the impact of road infrastructure on platoon cohesion and CO2 emissions","Hadjidimitriou N.S.","  Journal of Intelligent Transportation Systems Technology Planning and Operations  ","2025","jalon2","","","undefined","","https://doi.org/10.1080/15472450.2025.2584220","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Optimization of the design of the primary school classrooms in terms of energy and daylight performance considering occupants’ thermal and visual comfort","Bakmohammadi P.","  Energy Reports  ","2020","jalon2","","","undefined","","https://doi.org/10.1016/j.egyr.2020.06.008","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Optimizing the thermostat setting points of residential and insulated buildings in the direction of economic efficiency and thermal comfort through advanced multi-purpose techniques","He P.","  Energy and Buildings  ","2025","jalon2","","","undefined","","https://doi.org/10.1016/j.enbuild.2025.115428","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Full analysis and deep learning optimization of a sustainable and eco-friendly power plant to generate green hydrogen and electricity; A zero-carbon approach","Asadbagi P.","  Process Safety and Environmental Protection  ","2024","jalon2","","","undefined","","https://doi.org/10.1016/j.psep.2024.07.029","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Exploring influential parameters affecting residential building energy use: advancing energy efficiency through machine learning","Chaturvedi P.K.","  Clean Technologies and Environmental Policy  ","2025","jalon2","","","undefined","","https://doi.org/10.1007/s10098-025-03301-x","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Uncertainty-Aware Deep Reinforcement Learning for Trainable Equivalent Consumption Minimization Strategy of Fuel Cell Hybrid Electric Tracked Vehicle","Su Q.","  IEEE Transactions on Transportation Electrification  ","2025","jalon2","","","undefined","","https://doi.org/10.1109/TTE.2025.3563203","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","An adaptive federated learning system for community building energy load forecasting and anomaly prediction","Wang R.","  Energy and Buildings  ","2023","jalon2","","","undefined","","https://doi.org/10.1016/j.enbuild.2023.113215","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","IoT-based smart healthcare using efficient data gathering and data analysis","Adam Sahib R.B.","  Peer to Peer Networking and Applications  ","2025","jalon2","","","undefined","","https://doi.org/10.1007/s12083-024-01823-7","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Data Driven Energy Economy Prediction for Electric City Buses Using Machine Learning","Sennefelder R.M.","  IEEE Access  ","2023","jalon2","","","undefined","","https://doi.org/10.1109/ACCESS.2023.3311895","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Optimization of Solar Panel Orientation for Maximum Energy Efficiency","Selvi S.","  Proceedings of the 4th International Conference on Smart Electronics and Communication Icosec 2023  ","2023","jalon2","","","undefined","","https://doi.org/10.1109/ICOSEC58147.2023.10276287","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","IoT Security: Botnet Detection Using Self-Organizing Feature Map and Machine Learning","Susanto","  Jurnal Resti  ","2024","jalon2","","","undefined","","https://doi.org/10.29207/resti.v8i6.5871","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Optimizing the sustainable performance of public buildings: A hybrid machine learning algorithm","Xu W.","  Energy  ","2025","jalon2","","","undefined","","https://doi.org/10.1016/j.energy.2025.135283","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Augmented Deep Reinforcement Learning for Online Energy Minimization of Wireless Powered Mobile Edge Computing","Chen X.","  IEEE Transactions on Communications  ","2023","jalon2","","","undefined","","https://doi.org/10.1109/TCOMM.2023.3251353","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Designing energy-efficient buildings in urban centers through machine learning and enhanced clean water managements","Chen X.","  Environmental Research  ","2024","jalon2","","","undefined","","https://doi.org/10.1016/j.envres.2024.119526","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Deep Learning-Based Building Energy Optimization Using BIM Data \& Evaluating Energy Savings Potential","Rajput Y.","  Lecture Notes in Networks and Systems  ","2025","jalon2","","","undefined","","https://doi.org/10.1007/978-981-96-4136-9_23","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Energy-Efficient Transmission Scheduling in Mobile Phones Using Machine Learning and Participatory Sensing","Tang Z.","  IEEE Transactions on Vehicular Technology  ","2015","jalon2","","","undefined","","https://doi.org/10.1109/TVT.2014.2350510","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","A Data-Driven Approach for Improving Energy Efficiency in a Semiconductor Manufacturing Plant","Hong Z.","  IEEE Transactions on Semiconductor Manufacturing  ","2024","jalon2","","","undefined","","https://doi.org/10.1109/TSM.2024.3483781","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
